Price,Catergory,Brand,Name,Socket,Type,Code,Đời
0,CPU Intel,Intel,Intel Dualcore G630 PentiumD-2.7GHz,1155,G,630,1
0,CPU Intel,Intel,Intel Dualcore G645 PentiumD-2.9GHz,1155,G,645,1
0,CPU Intel,Intel,Intel Dualcore G860 PentiumD-3.0GHz,1155,G,860,1
915000,CPU Intel,Intel,CPU Intel Celeron G550-2.6GHz,1155,G,550,1
0,CPU Intel,Intel,"CPU Intel Celeron G1610 -2.6Ghz - 2MB Cache, socket 1155",1155,G,1610,2
840000,CPU Intel,Intel,CPU Intel Celeron G1830 2.80Ghz / 2MB Cache / Intel HD Graphic / Socket 1150,1150,G,1830,2
840000,CPU Intel,Intel,"CPU Intel Celeron G1840 2.8GHZ – 2MB Cache, sk 1150",1150,G,1840,2
865000,CPU Intel,Intel,CPU Intel Celeron G1630 -2.6GHZ ,1155,G,1630,2
0,CPU Intel,Intel,"CPU Intel Xeon E3 1230v2 -3.3Ghz - 8MB Cache, socket 1155",1155,E3,1230,3
0,CPU Intel,Intel,Intel Core i3-2120-3.3GHz,1155,i3,2120,3
0,CPU Intel,Intel,Intel DualCore G2010-2.8GHz,1155,G,2010,3
1265000,CPU Intel,Intel,CPU Intel Pentium G2020 2.9GHz / 3MB / HD Graphics / Socket 1155,1155,G,2020,3
1320000,CPU Intel,Intel,CPU Intel Dualcore G2030 - 3.0Ghz,1155,G,2030,3
1420000,CPU Intel,Intel,CPU Intel Pentium G2120 3.1GHz / 3MB / HD Graphics / Socket 1155,1155,G,2120,3
1545000,CPU Intel,Intel,CPU Intel Pentium G2130 3.2GHz / 3MB / HD Graphics / Socket 1155,1155,G,2130,3
4550000,CPU Intel,Intel,CPU Intel Xeon E3 1220v2 -3.1Ghz,1155,E3,1220,3
6339000,CPU Intel,Intel,CPU Intel Core Xeon E3-1230 V6 3.5 GHz / 8MB / Socket 1151 (Kabylake),1151,E3,1230,3
6900000,CPU Intel,Intel,CPU Intel Xeon E3-1245 V2 3.4GHz / 8MB / Socket 1155,1155,E3,1245,3
0,CPU Intel,Intel,"CPU Intel Core i3 3210 - 3.1GHz - 3MB Cache, socket 1155",1155,i3,3210,4
0,CPU Intel,Intel,CPU Intel Core i3 3220 3.3Ghz / 3MB Cache / socket 1155,1155,i3,3220,4
0,CPU Intel,Intel,CPU Intel Core i3-3225 - 3.3GHz / 3MB Cache / 5.0GT/s / Intel HD 4000,1155,i3,3225,4
0,CPU Intel,Intel,"CPU Intel Core i5-3330 - 3.0GHz, 6M L3 Cache, 5GT/s",1155,i5,3330,4
0,CPU Intel,Intel,CPU Intel Core i5-3570 - 3.4GHz,1155,i5,3570,4
0,CPU Intel,Intel,"CPU Intel Core i7-3930K - 3.2GHz, 12M L3 Cache, 5 GT/s, LGA 2011",2011,i7,3930,4
0,CPU Intel,Intel,CPU Intel Core i7-3960X,2011,i7,3960,4
0,CPU Intel,Intel,CPU Intel Core Xeon E3-1240 V3 3.40 GHz -8MB Socket 1150 (Haswell),1150,E3,1240,4
0,CPU Intel,Intel,CPU Intel Pentium G3220 3.0GHz / 3MB / HD Graphics / Socket 1150,1155,G,3220,4
0,CPU Intel,Intel,CPU Intel Xeon E5 1620v3 -3.5Ghz- 8MB Cache,1150,E5,1620,4
830000,CPU Intel,Intel,Intel Celeron G3900 2.8G / 2MB / HD Graphics 510 / Socket 1151 (Skylake),1151,G,3900,4
1079000,CPU Intel,Intel,CPU Intel Celeron G3930 2.9 GHz / 2MB / HD 600 Series Graphics / Socket 1151 (Kabylake),1151,G,3930,4
1220000,CPU Intel,Intel,CPU Intel Pentium Dual Core G3240 3.1Ghz-3Mb Box,1155,G,3240,4
1270000,CPU Intel,Intel,CPU Intel Pentium G3250 3.2GHz / 3MB / HD Graphics / Socket 1150,1155,G,3250,4
1290000,CPU Intel,Intel,CPU Intel Pentium G3260 3.3GHz / 3MB / HD Graphics / Socket 1150,1155,G,3260,4
1339000,CPU Intel,Intel,CPU Intel Celeron G3950 3.0 GHz / 2MB / HD 600 Series Graphics / Socket 1151 (Kabylake),1151,G,3950,4
1485000,CPU Intel,Intel,CPU Intel Pentium G3420 3.2G / 3MB / HD Graphics / Socket 1150,1155,G,3420,4
1490000,CPU Intel,Intel,CPU Intel Pentium G3440 3.3G / 3MB / HD Graphics / Socket 1150,1155,G,3440,4
