Price,Catergory,Brand,Name,1,2,3,4
1799000,Case,Xigmatek,Aquila Black Window CCD-14ABW-U01,,,,
990000,Case,Anphat,An Phat PC BenchTable 1v2,,,,
1290000,Case,Anphat,An Phat PC BenchTable 2v2,,,,
2499000,Case,BitFenix,"BitFenix Colossus mATX ( blue, red, green led)",,,,
2200000,Case,BitFenix,"BitFenix Colossus Mini ITX ( blue, red, green led)",,,,
0,Case,BitFenix,BitFenix Colossus White,,,,
3500000,Case,BitFenix,BitFenix Colossus Window White,,,,
3500000,Case,BitFenix,BitFenix Colossus Window xanh,,,,
3500000,Case,BitFenix,BitFenix Colossus Window Black,,,,
0,Case,BitFenix,BitFenix Colossus xanh,,,,
0,Case,BitFenix,BitFenix Colossus Black,,,,
1050000,Case,BitFenix,"BitFenix Comrade Window - Mini-ITX, mATX, ATX with USB 3.0 ( Black / White.. Color)",,,,
2200000,Case,BitFenix,"BitFenix Ghost - Mini-ITX, mATX, ATX with USB 3.0",,,,
825000,Case,BitFenix,"BitFenix Merc Alpha - Mini-ITX, mATX, ATX with USB 3.0",,,,
1100000,Case,BitFenix,"BitFenix Neos Window - Mini-ITX, mATX, ATX ( Orange/Black / White / Purple .. Color)",,,,
990000,Case,BitFenix,"BitFenix Outlaw - Mini-ITX, mATX, ATX with USB 3.0 ( Black / White.. Color)",,,,
2600000,Case,BitFenix,"BitFenix Pandora Core - Mini-ITX, mATX, with window ( Black / White.. Color)",,,,
1699000,Case,BitFenix,BitFenix Phenom - Mini-ITX ( Black / White.. Color),,,,
1900000,Case,BitFenix,BitFenix Phenom M - Mini-ATX ( Black / White.. Color),,,,
1950000,Case,BitFenix,BitFenix Prodigy M - Micro ATX / mini ITX with Window ( Orange/Black / White / Red .. Color),,,,
1999000,Case,BitFenix,"BitFenix Ronin - Mini-ITX, mATX, ATX with USB 3.0",,,,
1550000,Case,BitFenix,"BitFenix Shadow Window - Mini-ITX, mATX, ATX with USB 3.0",,,,
1390000,Case,BitFenix,BitFenix Shinobi,,,,
1650000,Case,BitFenix,BitFenix Shinobi Window (Black/White),,,,
3700000,Case,BitFenix,BitFenix Shinobi Window XL (Black/White),,,,
3500000,Case,BitFenix,BitFenix Shinobi XL (Black/White),,,,
2100000,Case,BitFenix,"BitFenix Survivor -  Mini-ITX, mATX, ATX ( Black / White Color)",,,,
1690000,Case,GameMax,GameMax X9 (9902) Led đỏ / xanh,,,,
3850000,Case,NZXT,"NZXT H440 Razer Edition Gaming Mid Tower - High-End WC support, USB3.0, Matte BLK/Green",,,,
3029000,Case,NZXT,"NZXT H440 STEEL Mid Tower - High-End WC support, USB3.0, White/Black",,,,
3429000,Case,NZXT,NZXT N450 Black,,,,
3429000,Case,NZXT,NZXT N450 White,,,,
3029000,Case,NZXT,"NZXT NZXT H440 STEEL Mid Tower - High-End WC support, USB3.0, Matte BLK/Red",,,,
4219000,Case,NZXT,NZXT P630 Black,,,,
4219000,Case,NZXT,NZXT P630 White,,,,
1989000,Case,NZXT,NZXT S340  Red on Black,,,,
2750000,Case,NZXT,NZXT S340 CA-S340W-W1 ( White / Modded ) - Bạch Xà,,,,
1989000,Case,NZXT,NZXT S340 Mid Tower CA-S340W-B1,,,,
1989000,Case,NZXT,NZXT S340 Mid Tower CA-S340W-W1 (White),,,,
580000,Case,SAMA,SAMA Athena Black/White,,,,
1050000,Case,SAMA,SAMA BARON NARSHOR BLACK,,,,
1050000,Case,SAMA,SAMA BARON NARSHOR WHITE,,,,
1150000,Case,SAMA,SAMA Carbon Cube,,,,
900000,Case,SAMA,SAMA Cube 2,,,,
519000,Case,SAMA,SAMA Ranger R07 Black/White ,,,,
0,Case,SAMA,SAMA Ranger R08,,,,
520000,Case,SAMA,SAMA Ranger R09 Black,,,,
790000,Case,SAMA,SAMA Space Warrior H01,,,,
1099000,Case,SAMA,SAMA Viking V01 Black,,,,
1150000,Case,SAMA,SAMA Viking V01 White,,,,
1699000,Case,SAMA,SAMA Xeon X01,,,,
980000,Case,Vitra,Vitra Gaming Dark Night G10 Temper Glass,,,,
799000,Case,Xigmatek,XIGMATEK FRONTLINER EN8798 (White),,,,
799000,Case,Xigmatek,XIGMATEK FRONTLINER EN8798 (Black),,,,
1120000,Case,Corsair,Corsair Carbide Series 200R,,,,
1410000,Case,Corsair,Corsair Carbide Series 200R Window,,,,
1700000,Case,Corsair,Corsair Carbide Series 300R Window,,,,
2390000,Case,Corsair,Corsair Carbide Series 500R Mid-Tower Case,,,,
2390000,Case,Corsair,Corsair Carbide Series 500R White Mid-Tower Case,,,,
2160000,Case,Corsair,Corsair Carbide Series Air 240 Arctic White High Airflow MicroATX and Mini-ITX PC Case,,,,
3100000,Case,Corsair,Corsair Carbide Series Air 540 Arctic White High Airflow ATX Cube Case,,,,
3100000,Case,Corsair,Corsair Carbide Series Air 540 High Airflow ATX Cube /Black,,,,
1230000,Case,Corsair,Corsair Carbide Series SPEC-02 Gaming Case,,,,
1310000,Case,Corsair,Corsair Carbide Series SPEC-03 Orange LED Mid-Tower Gaming Case,,,,
1230000,Case,Corsair,Corsair Carbide Series SPEC-03 Red LED Mid-Tower Gaming Case,,,,
1280000,Case,Corsair,Corsair Carbide Series SPEC-03 White LED Mid-Tower Gaming Case,,,,
