Price,Catergory,Brand,Name,1,2,3,4
549000,Tản nhiệt khí - Aircooling,Coolermaster,Tản nhiệt khí - Cooler Master Hyper 103,0,,,
350000,Tản nhiệt khí - Aircooling,DeepCool,Tản nhiệt khí - Deepcool Mini FS V2,0,,,
1700000,Tản nhiệt khí - Aircooling,,Tản nhiệt khí - Phanteks TC14PE Black Edition,0,,,
1350000,Tản nhiệt khí - Aircooling,,Tản nhiệt khí - Thermalright True Spirit 140 Power Edition,0,,,
289000,Tản nhiệt khí - Aircooling,DeepCool,Tản nhiệt khí Air Cooling Deepcool gammaxx 200T,0,,,
540000,Tản nhiệt khí - Aircooling,DeepCool,Tản nhiệt khí Air Cooling Deepcool gammaxx 400 (Blue),0,,,
560000,Tản nhiệt khí - Aircooling,DeepCool,Tản nhiệt khí Air Cooling Deepcool gammaxx 400 (Red),0,,,
1150000,Tản nhiệt khí - Aircooling,,Tản nhiệt khí Air Cooling Deepcool lucifer v2,0,,,
590000,Tản nhiệt khí - Aircooling,,Tản nhiệt khí Air Cooling Evercool Venti HPQ - 12025 ,0,,,
1020000,Tản nhiệt khí - Aircooling,,Tản nhiệt khí AirCooling CPU Xigmatek Aegir [SD12864],0,,,
529000,Tản nhiệt khí - Aircooling,Xigmatek,Tản nhiệt khí AirCooling Xigmatek Gaia [SD1283],0,,,
589000,Tản nhiệt khí - Aircooling,Antec,Tản nhiệt khí ANTEC A40 PRO,0,,,
880000,Tản nhiệt khí - Aircooling,Coolermaster,Tản nhiệt khí Cooler Master Hyper 212X,0,,,
1990000,Tản nhiệt khí - Aircooling,Coolermaster,Tản nhiệt khí Cooler Master V8GTS,0,,,
650000,Tản nhiệt khí - Aircooling,Coolermaster,Tản nhiệt khí Cooling CoolerMaster T4,0,,,
119000,Tản nhiệt khí - Aircooling,SAMA,Tản nhiệt khí CPU FAN SAMA AZ301l,0,,,
550000,Tản nhiệt khí - Aircooling,Thermaltake,Tản nhiệt khí CPU Thermaltake Contac 16,0,,,
960000,Tản nhiệt khí - Aircooling,Thermaltake,Tản nhiệt khí CPU Thermaltake Frio Silent  (CL-P001-AL12BL-B),0,,,
1600000,Tản nhiệt khí - Aircooling,Thermaltake,Tản nhiệt khí CPU Thermaltake NIC C4 (CLP0607),0,,,
1800000,Tản nhiệt khí - Aircooling,Thermaltake,Tản nhiệt khí CPU Thermaltake NIC C5 (CLP0608),0,,,
1000000,Tản nhiệt khí - Aircooling,Thermaltake,Tản nhiệt khí CPU Thermaltake NiC F3 (CLP0605),0,,,
1300000,Tản nhiệt khí - Aircooling,Thermaltake,Tản nhiệt khí CPU Thermaltake NiC F4 (CLP0606),0,,,
1420000,Tản nhiệt khí - Aircooling,,Tản nhiệt khí CPU Xigmatek Venus [XP-SD1266],0,,,
1550000,Tản nhiệt khí - Aircooling,DeepCool,Tản nhiệt khí Deepcool Assassin II,0,,,
