Price,Catergory,Brand,Name,1,2,3,4
1210000,HDD,Seagate,Ổ cứng Seagate Barracuda 1TB 64MB cache,1024,,,
1050000,HDD,Seagate,Ổ cứng Seagate Barracuda 250GB 16MB cache,250,,,
1790000,HDD,Seagate,Ổ cứng Seagate Barracuda 2TB 64MB cache,2048,,,
3550000,HDD,Seagate,Ổ cứng Seagate Barracuda 4TB 64MB cache,4096,,,
1090000,HDD,Seagate,Ổ cứng Seagate Barracuda 500GB 32MB Cache,500,,,
2900000,HDD,Seagate,Ổ cứng Seagate NAS HDD 2TB 64MB cache,2048,,,
3600000,HDD,Seagate,Ổ cứng Seagate NAS HDD 3TB 64MB cache,3072,,,
5500000,HDD,Seagate,Ổ cứng Seagate NAS HDD 4TB 64MB cache,4096,,,
1800000,HDD,Seagate,Ổ cứng Seagate Pipeline HD 1TB 64MB Cache,1024,,,
2500000,HDD,Seagate,Ổ cứng Seagate Pipeline HD 2TB 64MB cache,2048,,,
1500000,HDD,Seagate,Ổ cứng Seagate Pipeline HD 500GB 8MB cache,500,,,
3580000,HDD,Seagate,Ổ cứng Seagate SURVEILLANCE 3TB 64MB cache,3072,,,
4890000,HDD,Seagate,Ổ cứng Seagate SURVEILLANCE 4TB 64MB cache,4096,,,
1650000,HDD,Toshiba,Ổ cứng Toshiba 1TB DT01ACA100,1024,,,
1090000,HDD,Toshiba,Ổ cứng Toshiba 500GB DT01ACA050,500,,,
1650000,HDD,Toshiba,Ổ cứng Toshiba CineMaster 1TB DT01ABA100V,1024,,,
2290000,HDD,Toshiba,Ổ cứng Toshiba CineMaster 2TB DT01ABA200V,2048,,,
2990000,HDD,Toshiba,Ổ cứng Toshiba CineMaster 3TB DT01ABA300V,3072,,,
1350000,HDD,Toshiba,Ổ cứng Toshiba CineMaster 500GB DT01ABA050V,500,,,
2190000,HDD,Toshiba,Ổ cứng Toshiba Nearline 1TB MG03ACA100,1024,,,
2790000,HDD,Toshiba,Ổ cứng Toshiba Nearline 1TB SAS MG03SCA100,1024,,,
3290000,HDD,Toshiba,Ổ cứng Toshiba Nearline 2TB MG03ACA200,2048,,,
5590000,HDD,Toshiba,Ổ cứng Toshiba Nearline 3TB MG03ACA300,3072,,,
6690000,HDD,Toshiba,Ổ cứng Toshiba Nearline 3TB SAS MG03SCA300,3072,,,
8190000,HDD,Toshiba,Ổ cứng Toshiba Nearline 4TB MG03ACA400,4096,,,
8490000,HDD,Toshiba,Ổ cứng Toshiba Nearline 4TB SAS MG03SCA400,4096,,,
2790000,HDD,Toshiba,Ổ cứng Toshiba Surveillance 2TB MD03ACA200V,2048,,,
3590000,HDD,Toshiba,Ổ cứng Toshiba Surveillance 3TB MD03ACA300V,3072,,,
4950000,HDD,Toshiba,Ổ cứng Toshiba Surveillance 4TB MD03ACA400V,4096,,,
3590000,HDD,Western Digital,Ổ cứng Western Caviar Green 4TB 64MB Cache,4096,,,
4290000,HDD,Western Digital,Ổ cứng Western Caviar Red 4TB 64MB Cache,4096,,,
1890000,HDD,Western Digital,Ổ cứng Western Digital Caviar Black 1TB 64MB Cache,1024,,,
3200000,HDD,Western Digital,Ổ cứng Western Digital Caviar Black 2TB 64MB Cache,2048,,,
4130000,HDD,Western Digital,Ổ cứng Western Digital Caviar Black 3TB 64MB Cache,3072,,,
5450000,HDD,Western Digital,Ổ cứng Western Digital Caviar Black 4TB 64MB Cache,4096,,,
1560000,HDD,Western Digital,Ổ cứng Western Digital Caviar Black 500GB 64MB cache,500,,,
1155000,HDD,Western Digital,Ổ cứng Western Digital Caviar Blue 1TB 64MB Cache,1024,,,
1030000,HDD,Western Digital,Ổ cứng Western Digital Caviar Blue 250GB SATA 16MB Cache,250,,,
1795000,HDD,Western Digital,Ổ cứng Western Digital Caviar Blue 2TB 64MB Cache,2048,,,
2450000,HDD,Western Digital,Ổ cứng Western Digital Caviar Blue 3TB 64MB Cache,3072,,,
3460000,HDD,Western Digital,Ổ cứng Western Digital Caviar Blue 4TB 64MB Cache,4096,,,
1110000,HDD,Western Digital,Ổ cứng Western Digital Caviar Blue 500GB - 16MB Cache,500,,,
5050000,HDD,Western Digital,Ổ cứng Western Digital Caviar Blue 5TB 64MB Cache,5120,,,
