Price,Catergory,Brand,Name,Chipset,Socket,DDR type,M2
1240000,Mainboard Intel,Biostar,Biostar H81MHV3 ,H81,1150,DDR3,
0,Mainboard Intel,Asrock,Asrock B75 Pro3-M,B75,1155,DDR3,
0,Mainboard Intel,Asrock,Asrock B75M-DGS R2.0,B75,1155,DDR3,
6400000,Mainboard Intel,Asrock,Asrock Fatal1ty X79 Professional,X79,2011,DDR3,
5800000,Mainboard Intel,Asrock,Asrock Fatal1ty Z77 Professional,Z77,1155,DDR3,
7200000,Mainboard Intel,Asrock,Asrock Fatal1ty Z87 Professional,Z87,1150,DDR3,
1020000,Mainboard Intel,Asrock,Asrock H61M-DG4,H61,1155,DDR3,
1050000,Mainboard Intel,Asrock,Asrock H61M-HG4,H61,1155,DDR3,
0,Mainboard Intel,Asrock,ASROCK H61M-VS,H61,1155,DDR3,
900000,Mainboard Intel,Asrock,Asrock H61M-VS4,H61,1155,DDR3,
2389000,Mainboard Intel,Asrock,ASRock H77 Pro4/MVP - LGA 1155 / Intel H77 / HDMI / SATA 6Gb/s / USB 3.0 / ATX / Intel Motherboard,H77,1155,DDR3,
2650000,Mainboard Intel,Asrock,ASRock H87 PRO4,H87,1150,DDR3,
3300000,Mainboard Intel,Asrock,Asrock Z77 Extreme4,Z77,1155,DDR3,
6300000,Mainboard Intel,Asrock,Asrock Z77 OC Formula,Z77,1155,DDR3,
2569000,Mainboard Intel,Asrock,Asrock Z77 Pro4,Z77,1155,DDR3,
919000,Mainboard Intel,ECS,ECS H61H2-MV (V1.0),H61,1155,DDR3,
2189000,Mainboard Intel,ECS,ECS Z77H2-A3 (V1.2),Z77,1155,DDR3,
1025000,Mainboard Intel,Foxconn,Main Foxcon H61 MXE (HDMI),H61,1155,DDR3,
990000,Mainboard Intel,Foxconn,Main Foxcon H61 MXE-V ,H61,1155,DDR3,
2690000,Mainboard Intel,Asrock,Asrock B150 Gaming K4/D3 Fatal1ty ,B150,1151,DDR4,
3000000,Mainboard Intel,Asrock,Asrock B150 Gaming K4/HYPER,B150,1151,DDR4,
2030000,Mainboard Intel,Asrock,Asrock B150M Pro4,B150,1151,DDR4,
1780000,Mainboard Intel,Asrock,Asrock B150M Pro4/D3,B150,1151,DDR4,
2590000,Mainboard Intel,Asrock,Asrock B150M Pro4/Hyper,B150,1151,DDR4,
2690000,Mainboard Intel,Asrock,Asrock B250M Pro4,B250,1151,DDR4,
1649000,Mainboard Intel,Asrock,ASRock B85 Pro4 - LGA 1150 / Intel B85 / HDMI SATA 6Gb/s USB 3.0 / ATX Intel Motherboard,B85,1150,DDR3,
1550000,Mainboard Intel,Asrock,ASRock B85M Pro4 - LGA 1150,B85,1150,DDR3,
1450000,Mainboard Intel,Asrock,ASRock B85M-HDS - LGA 1150 / Intel B85 / HDMI / SATA 6Gb/s / USB 3.0 / Micro ATX / Intel Motherboard,B85,1150,DDR3,
1450000,Mainboard Intel,Asrock,ASRock D1800M,D1800,D1800,DDR3,
2950000,Mainboard Intel,Asrock,ASRock Fatal1ty B85 Killer,B85,1150,DDR3,
2720000,Mainboard Intel,Asrock,Asrock Fatal1ty H170 Performance,H170,1151,DDR4,
2130000,Mainboard Intel,Asrock,ASRock Fatal1ty H87 Performance,H87,1150,DDR3,
2968000,Mainboard Intel,Asrock,ASRock Fatal1ty H97 Killer,H97,1150,DDR3,
1990000,Mainboard Intel,Asrock,ASRock Fatal1ty H97 Performance,H97,1150,DDR3,
2750000,Mainboard Intel,Asrock,ASRock Fatal1ty Z170 Gaming K4,Z170,1151,DDR4,
2580000,Mainboard Intel,Asrock,ASRock Fatal1ty Z170 Gaming K4,Z170,1151,DDR4,
7650000,Mainboard Intel,Asrock,ASRock Fatal1ty Z170 Gaming K6,Z170,1151,DDR4,
4134000,Mainboard Intel,Asrock,ASRock Fatal1ty Z170 Gaming-ITX/ac,Z170,1151,DDR4,
4134000,Mainboard Intel,Asrock,Asrock H110M Combo-G,H110,1151,DDR4,
4950000,Mainboard Intel,Asrock,Asrock H110M-DVS R2.0,H110,1151,DDR4,
4990000,Mainboard Intel,Asrock,Asrock H110M-DVS/D3,H110,1151,DDR4,
1990000,Mainboard Intel,Asrock,Asrock H110M-HDV,H110,1151,DDR4,
1490000,Mainboard Intel,Asrock,Asrock H110M-HDV/D3,H110,1151,DDR4,
1525000,Mainboard Intel,Asrock,Asrock H110M-HDVP,H110,1151,DDR4,
1590000,Mainboard Intel,Asrock,Asrock H110M-ITX/AC,H110,1151,DDR4,
1450000,Mainboard Intel,Asrock,ASRock H170 Performance D3,H170,1151,DDR4,
1799000,Mainboard Intel,Asrock,ASRock H170 Pro4/Hyper,H170,1151,DDR4,
2450000,Mainboard Intel,Asrock,ASRock H61M-VG3,H61,1155,DDR3,
3130000,Mainboard Intel,Asrock,ASRock H61M-VS3,H61,1155,DDR3,
3200000,Mainboard Intel,Asrock,ASRock H71M-DGS,H71,1155,DDR3,
920000,Mainboard Intel,Asrock,ASRock H81 Pro BTC - LGA 1150 / Intel H81 / HDMI / SATA 6Gb/s / USB 3.0 / ATX / Intel Motherboard,H81,1150,DDR3,
910000,Mainboard Intel,Asrock,Asrock H81M-DG4 ,H81,1150,DDR3,
920000,Mainboard Intel,Asrock,ASRock H81M-DGS R2.0,H81,1150,DDR3,
1390000,Mainboard Intel,Asrock,ASRock H81M-G - LGA 1150 ,H81,1150,DDR3,
1080000,Mainboard Intel,Asrock,Asrock H81M-HDS,H81,1150,DDR3,
1150000,Mainboard Intel,Asrock,ASRock H81M-HG4 - LGA 1150 / Intel H81 / HDMI / SATA 6Gb/s / USB 3.0 / Micro ATX,H81,1150,DDR3,
1350000,Mainboard Intel,Asrock,ASRock Q1900-ITX,Q1900,Q1900,DDR3,
1190000,Mainboard Intel,Asrock,ASRock Q1900M,Q1900,Q1900,DDR3,
1250000,Mainboard Intel,Asrock,ASRock Q2900M,Q2900,Q2900,DDR3,
