Price,Catergory,Model,Brand,Name,1,2,3,4
1640000,Nguồn Coolermaster,RS600-ACABB1,Coolermaster,Coolermaster B600 ver.2 80 Plus (RS600-ACABB1),600,,,
1980000,Nguồn Coolermaster,RS700-ACABB1,Coolermaster,Coolermaster B700 ver.2 80 Plus (RS700-ACABB1),700,,,
510000,Nguồn Coolermaster,,Coolermaster,Coolermaster Elite 350W (RS-350-PSAR-i3),350,,,
1740000,Nguồn Coolermaster,,Coolermaster,Coolermaster G550M 80 Plus Bronze (RS550-AMAAB1-EU),550,,,
1940000,Nguồn Coolermaster,,Coolermaster,Coolermaster G650M 80 Plus Bronze (RS650-AMAAB1-EU),650,,,
2150000,Nguồn Coolermaster,,Coolermaster,Coolermaster G750M 80 Plus Bronze (RS750-AMAAB1-EU),750,,,
1180000,Nguồn Coolermaster,,Coolermaster,Coolermaster GX 450W (RS450-ACAAD3-EU),450,,,
1150000,Nguồn Coolermaster,,Coolermaster,Coolermaster GX-2 PRO 450W (RS450-ACAAB1-E1),450,,,
1590000,Nguồn Coolermaster,,Coolermaster,Coolermaster GX2 550W (RS550-ACAAB1-EU),550,,,
1940000,Nguồn Coolermaster,,Coolermaster,Coolermaster GX2 650W (RS650-ACAAB1-EU),650,,,
2290000,Nguồn Coolermaster,,Coolermaster,Coolermaster GX2 750W (RS750-ACAAB1-EU),750,,,
990000,Nguồn Coolermaster,,Coolermaster,Coolermaster Thunder 450W (RS-450-ACAB-M3),450,,,
4050000,Nguồn Coolermaster,,Coolermaster,Coolermaster V850 80 Plus Gold (RS850-AFBAG1-EU),850,,,
715000,Nguồn Coolermaster,,Coolermaster,Coolermaster Elite 400W (RS400-PSARI3-BU)t,400,,,
790000,Nguồn Coolermaster,,Coolermaster,Coolermaster Elite 460W (RS460-PSARI3),460,,,
890000,Nguồn Coolermaster,,Coolermaster,Coolermaster Elite V2 500W (RS500-PCARN1-EU),500,,,
980000,Nguồn Coolermaster,,Coolermaster,Coolermaster Elite V2 550W RS550-PSARI3,550,,,
1310000,Nguồn Aerocool,,Aerocool,Aerocool Strike-X 500W,500,,,
1340000,Nguồn Aerocool,,Aerocool,Aerocool Strike-X 500W Army Edition,500,,,
1470000,Nguồn Aerocool,,Aerocool,Aerocool Strike-X 600W,600,,,
1400000,Nguồn Aerocool,,Aerocool,Aerocool Strike-X 600W Army Edition,600,,,
2415000,Nguồn Aerocool,,Aerocool,Aerocool Strike-X 800W,800,,,
2445000,Nguồn Aerocool,,Aerocool,Aerocool Strike-X 800W Army Edition,800,,,
449000,Nguồn Sama,,SAMA,SAMA 430  - 300W,430,,,
890000,Nguồn Sama,,SAMA,SAMA 630  - 500W,630,,,
690000,Nguồn Sama,EPS-400-1,SAMA,"SAMA EPS-400-1 400W 80Plus Bronze, A.PFC",400,,,
