Price,Catergory,Model,Brand,Name,Ramtype,amount,Capacity,Bus
2560000,Ram,,,Corsair Dominator Platinum DDR3 (2x4GB) 8GB bus 1600 - CMD8GBX3M2A1600C9,DDR3,2,8,1600
3260000,Ram,,,Corsair Dominator Platinum DDR3 (2x4GB) 8GB bus 2133 - CMD8GBX3M2A2133C9,DDR3,2,8,2133
5400000,Ram,,Corsair,RAM Corsair DOMINATOR Platinum 16GB (4x4GB) DDR4 bus 2666Mhz - (CMD16GBX4M4A2666C16),DDR4,4,16,2666
5060000,Ram,CMD16GX3M2A1866C9,Corsair,RAM Corsair Dominator Platinum DDR3 (2x8GB) 16GB bus 1866 - CMD16GBX3M2A1866C9,DDR3,2,16,1866
5555000,Ram,CMD16GX3M4A1866C9,Corsair,RAM Corsair Dominator Platinum DDR3 (4x4GB) 16GB bus 1866 - CMD16GBX3M4A1866C9,DDR3,4,16,1866
1820000,Ram,,Corsair,Ram Corsair Vegeance Pro DDR3 (2x4GB) 8GB bus 1600 - CMY8GBX3M2A1600C9,DDR3,2,8,1600
1820000,Ram,,Corsair,Ram Corsair Vegeance Pro DDR3 (2x4GB) 8GB bus 1600 - CMY8GBX3M2A1600C9B,DDR3,2,8,1600
1820000,Ram,,Corsair,Ram Corsair Vegeance Pro DDR3 (2x4GB) 8GB bus 1600 - CMY8GBX3M2A1600C9R,DDR3,2,8,1600
3590000,Ram,,Corsair,Ram Corsair Vegeance Pro DDR3 (2x8GB) 16GB bus 1600 - CMY16GBX3M2A1600C9,DDR3,2,16,1600
3710000,Ram,,Corsair,RAM Corsair Vegeance Pro DDR3 (2x8GB) 16GB bus 2133 - CMY16GBX3M2A2133C11,DDR3,2,16,2133
6290000,Ram,,Corsair,RAM Corsair Vengeance LPX 16GB (4x4GB) DDR4 (CMK16GBX4M4A2400C14),DDR4,4,16,2400
2749000,Ram,,Corsair,Ram Corsair VENGEANCE LED 16GB (2x8GB) DDR4 2666MHz C16 Memory Kit - Red LED (CMU16GBX4M2A2666C16R),DDR4,2,16,2666
2649000,Ram,,Corsair,Ram Corsair VENGEANCE LED 16GB (2x8GB) DDR4 2666MHz C16 Memory Kit - White LED (CMU16GBX4M2A2666C16R),DDR4,2,16,2666
2700000,Ram,,Corsair,RAM Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 2666MHz C16 Memory Kit – White (CMK16GBX4M2A2666C16W),DDR4,2,16,2666
3950000,Ram,,Corsair,RAM Corsair Vengeance LPX 16GB (4x4GB) DDR4 DRAM 2666MHz C16 Memory Kit - Black (CMK16GBX4M4A2666C16),DDR4,4,16,2666
2350000,Ram,AX4U2400W8G16-DRD,Adata,RAM ADATA 16GB (2x8GB) DDR4 2400MHz AX4U2400W8GB16-DRD - LED đỏ,DDR4,2,16,2400
360000,Ram,,Adata,RAM ADATA 2GB DDR3 1600MHz AD3U160022GB11-S,DDR3,1,2,1600
3099000,Ram,AX4U2400316G16-DRD,Adata,RAM ADATA 32GB (2x16GB) DDR4 2400MHz AX4U2400316GB16-DRD - LED đỏ,DDR4,2,32,2400
3169000,Ram,AX4U2400W8G16-QRD,Adata,RAM ADATA 32GB (4x8GB) DDR4 2400MHz AX4U2400W8GB16-QRD - LED đỏ,DDR4,4,32,2400
590000,Ram,,Adata,RAM ADATA 4GB DDR3 1600MHz AD3U1600W4GB11-R,DDR3,1,4,1600
490000,Ram,AX3U1600W4G11-RD,Adata,RAM ADATA 4GB XPG V1.0  DDR3 1600MHz AX3U1600W4GB11-RD (Blue),DDR3,1,4,1600
590000,Ram,AX3U1600W4G9-RB,Adata,RAM ADATA 4GB XPG V1.0  DDR3 1600MHz AX3U1600W4GB9-RB (Black),DDR3,1,4,1600
790000,Ram,AX4U2133W4G13-BRZ,Adata,RAM ADATA 4GB XPG Z1 DDR4 2133MHz AX4U2133W4GB13-BRZ (Red),DDR4,1,4,2133
1180000,Ram,,Adata,RAM ADATA 8GB DDR3 1600MHz AD3U1600W8GB11-S,DDR3,1,8,1600
1150000,Ram,AX3U1600W8G11-BD,Adata,RAM ADATA 8GB XPG V1.0  DDR3 1600MHz AX3U1600W8GB11-BD (Blue),DDR3,1,8,1600
1150000,Ram,AX3U1600W8G9-RB,Adata,RAM ADATA 8GB XPG V1.0  DDR3 1600MHz AX3U1600W8GB9-RB (Black),DDR3,1,8,1600
1190000,Ram,AX4U2133W8G13-BRZ,Adata,RAM ADATA 8GB XPG Z1 DDR4 2133MHz AX4U2133W8GB13-BRZ (Red),DDR4,1,8,2133
1390000,Ram,AX4U2400W8G16-BRZ,Adata,RAM ADATA 8GB XPG Z1 DDR4 2400MHz AX4U2400W8GB16-BRZ (Red),DDR4,1,8,2400
2299000,Ram,AX4U2133W8G13-DRZ,Adata,RAM ADATA kit 16GB (2x8GB) XPG Z1  DDR4 2133MHz AX4U2133W8GB13-DRZ (Red),DDR4,2,16,2133
1050000,Ram,AX3U1600W4G9-DGV,Adata,RAM ADATA kit 8GB (2x4GB) XPG V2.0  DDR3 1600MHz AX3U1600W4GB9-DGV,DDR3,2,8,1600
1050000,Ram,AX3U1600W4G9-DMV,Adata,RAM ADATA kit 8GB (2x4GB) XPG V2.0  DDR3 1600MHz AX3U1600W4GB9-DMV,DDR3,2,8,1600
1290000,Ram,AX4U2133W4G13-DRZ,Adata,RAM ADATA Kit 8GB (2x4GB) XPG Z1 DDR4 2133MHz AX4U2133W4GB13-DRZ (Red),DDR4,2,8,2133
