Price,Catergory,Brand,Name,1,2,3,4
2299000,SSD,Plextor,SSD PX-128M8PeG,128,no M2,,
6599000,SSD,Plextor,SSD PX-512M8PeG,512,no M2,,
1099000,SSD,LITEON,SSD LiteOn PH4-CE120 120Gb SATA3 ,120,no M2,,
4550000,SSD,GSkill,G.Skill Phoenix 240GB FM-25S3-240GBP3,240,no M2,,
1190000,SSD,Intel,Intel SSD 80GB - 335 Series S-ATA2 ,80,no M2,,
1690000,SSD,Kingston,Kingston SSD MS200 SMS200S3 120GB - mSATA,120,no M2,,
2640000,SSD,Adata,SSD ADATA S510 120GB,120,no M2,,
2860000,SSD,Adata,SSD Adata S510 120GB,120,no M2,,
1650000,SSD,Adata,SSD Adata S510 SATA III 60GB,60,no M2,,
1390000,SSD,Adata,SSD ADATA SP600 64GB,64,no M2,,
1850000,SSD,Adata,SSD ADATA SP900 128GB,128,no M2,,
1390000,SSD,Adata,SSD ADATA SP900 64GB,64,no M2,,
1390000,SSD,Apotop,SSD APOTOP S3C 128GB SATA3,128,no M2,,
2450000,SSD,Apotop,SSD APOTOP S3C 256GB SATA3,256,no M2,,
1199000,SSD,Colorful,SSD Colorful SL300 120GB,120,no M2,,
1799000,SSD,Colorful,SSD Colorful SL300 240GB,240,no M2,,
0,SSD,Corsair,SSD Corsair Force 3 120GB,120,no M2,,
0,SSD,Corsair,SSD Corsair Force 3 60GB,60,no M2,,
0,SSD,Corsair,SSD Corsair Force GS 128GB,128,no M2,,
7960000,SSD,Corsair,SSD Corsair Force GS 480GB,480,no M2,,
1999000,SSD,Corsair,SSD Corsair Force LS 120GB SATA3,120,no M2,,
3333000,SSD,Corsair,SSD Corsair Force LS 240GB SATA3,240,no M2,,
10540000,SSD,Corsair,SSD Corsair Force LS 960GB SATA3,960,no M2,,
1690000,SSD,Corsair,SSD Corsair Force LX 128GB SATA3,128,no M2,,
3060000,SSD,Corsair,SSD Corsair Force LX 256GB SATA3,256,no M2,,
6890000,SSD,Corsair,SSD Corsair Force LX 512GB SATA3,512,no M2,,
3720000,SSD,Corsair,SSD Corsair Neutron XT 240GB SATA3,240,no M2,,
7120000,SSD,Corsair,SSD Corsair Neutron XT 480GB SATA3,480,no M2,,
2100000,SSD,Crucial,SSD Crucial M500 120GB CT120M500SSD1,120,no M2,,
1289000,SSD,Intel,SSD Intel 120GB - Series 535,120,no M2,,
1459000,SSD,Intel,SSD Intel 120GB 530 Series,120,no M2,,
1459000,SSD,Intel,SSD Intel 120GB 530 Series (Reseller pack),120,no M2,,
3050000,SSD,Intel,SSD Intel 240GB - 530 Series,240,no M2,,
2199000,SSD,Intel,SSD Intel 240GB - Series 535,240,no M2,,
3699000,SSD,Intel,SSD Intel 480GB - Series 535,480,no M2,,
16990000,SSD,Intel,ssd Intel 750 Series 800GB PCIe NVMe 3.0 x4 MLC,800,no M2,,
10590000,SSD,Intel,SSD Intel 750 Series SSDPEDMW400G4R5 HHHL CEM2.0 400GB,400,M2,,
10590000,SSD,Intel,SSD Intel 750 Series SSDPEDMW400G4X1 400GB,400,no M2,,
1399000,SSD,Intel,SSD Intel 540s - 120GB - Series 540,120,no M2,,
1950000,SSD,Intel,SSD Intel 540s - 180GB - Series 540,180,no M2,,
8850000,SSD,Intel,SSD Intel 540s - 1TB - Series 540,540,no M2,,
2350000,SSD,Intel,SSD Intel 540s - 240GB - Series 540,240,no M2,,
3450000,SSD,Intel,SSD Intel 540s - 360GB - Series 540,360,no M2,,
3950000,SSD,Intel,SSD Intel 540s - 480GB - Series 540,480,no M2,,
1180000,SSD,Kingmax,SSD KINGMAX 120GB SME35 ,120,no M2,,
1790000,SSD,Kingmax,SSD KINGMAX 240GB SME35 ,240,no M2,,
3790000,SSD,Kingmax,SSD KINGMAX 480GB SME35 ,480,no M2,,
1180000,SSD,Kingmax,SSD KINGMAX 60GB SME35 Xvalue,60,no M2,,
0,SSD,Kingmax,SSD KINGMAX SATA III SMP35 480GB,480,no M2,,
0,SSD,Kingmax,SSD Kingmax SATAIII SMP35 60GB,60,no M2,,
0,SSD,Kingmax,SSD KINGMAX SATAIII SSD SMP35 120GB,120,no M2,,
0,SSD,Kingmax,SSD KINGMAX SMU35 120GB,120,no M2,,
0,SSD,Kingmax,SSD KINGMAX SMU35 240GB,240,no M2,,
2850000,SSD,Kingston,SSD Kingston 120GB SVP200S3B7A120G,120,no M2,,
1930000,SSD,Kingston,SSD Kingston HyperX 3K 120GB,120,no M2,,
3305000,SSD,Kingston,SSD Kingston HyperX 3K 240GB,240,no M2,,
7025000,SSD,Kingston,SSD Kingston HyperX 3K 480GB,480,no M2,,
1728000,SSD,Kingston,SSD Kingston HyperX Fury SHFS37A/120G,120,no M2,,
2970000,SSD,Kingston,SSD Kingston HyperX Fury SHFS37A/240G,240,no M2,,
1990000,SSD,Kingston,SSD Kingston KC300 120GB,120,no M2,,
3480000,SSD,Kingston,SSD Kingston KC300 240GB,240,no M2,,
1890000,SSD,Kingston,SSD Kingston M2 SATA SM2280S3 120GB,120,M2,,
3390000,SSD,Kingston,SSD Kingston M2 SATA SM2280S3 240GB,240,M2,,
1325000,SSD,Kingston,SSD Kingston MS200 SMS200S3 60GB mSATA,60,no M2,,
1650000,SSD,Kingston,SSD Kingston Now HYPERX SAVAGE SHSS37A/120G ,120,no M2,,
2390000,SSD,Kingston,SSD Kingston Now HYPERX SAVAGE SHSS37A/240G ,240,no M2,,
4550000,SSD,Kingston,SSD Kingston Now HYPERX SAVAGE SHSS37A/480G,480,no M2,,
1320000,SSD,Kingston,SSD Kingston Now V300 120GB SATA III,120,no M2,,
1790000,SSD,Kingston,SSD Kingston Now V300 240GB SATA III,240,no M2,,
3590000,SSD,Kingston,SSD Kingston Now V300 480GB SATA III,480,no M2,,
960000,SSD,Kingston,SSD Kingston Now V300 60GB SATA III,60,no M2,,
0,SSD,Kingston,SSD Kingston UV300 120GB SATA III,120,no M2,,
0,SSD,Kingston,SSD Kingston UV300 240GB SATA III,240,no M2,,
1150000,SSD,Kingston,SSD Kingston UV400 120GB SATA III,120,no M2,,
1990000,SSD,Kingston,SSD Kingston UV400 240GB SATA III,240,no M2,,
3350000,SSD,Kingston,SSD Kingston UV400 480GB SATA III,480,no M2,,
2530000,SSD,Kingston,SSD Kingston V+200 Drive 120GB SVP200S3/120G,120,no M2,,
0,SSD,LITEON,SSD Lite-on MU II PH3-CE240 240GB,240,no M2,,
5999000,SSD,LITEON,SSD Lite-On Zeta M2 LGH-512V2G 512GB,512,M2,,
1499000,SSD,LITEON,SSD LiteOn M2 L8H-128V2G 128GB,128,M2,,
2199000,SSD,LITEON,SSD LiteOn M2 SATA (L8H-256V2G) 256GB,256,M2,,
3399000,SSD,LITEON,SSD LiteOn M2 SATA (LGH-512V2G) 512GB,512,M2,,
999000,SSD,LITEON,SSD LiteOn MU SERIES PH2-CJ120 120GB,120,no M2,,
2499000,SSD,LITEON,SSD LiteOn MU Series PH2-CJ240 240GB,240,no M2,,
999000,SSD,LITEON,SSD LiteOn MU SERIES PH3-CE120 120GB,120,no M2,,
1699000,SSD,LITEON,SSD LiteOn S900 Series SCS-128L9S L900S 128GB,128,no M2,,
2850000,SSD,LITEON,SSD LiteOn S900 Series SCS-256L9S 256GB,256,no M2,,
1199000,SSD,LITEON,SSD LiteOn S900 Series SCS-64L9S L900S 64GB,64,no M2,,
5998000,SSD,LITEON,SSD LiteOn Zeta Series LCH-512V2S 512GB,512,no M2,,
2490000,SSD,Plextor,SSD M2 Plextor M6e (PX-G256M6e) 256GB,256,M2,,
0,SSD,OCZ,SSD OCZ Agility 3 120GB,120,no M2,,
0,SSD,OCZ,SSD OCZ Agility 3 240GB,240,no M2,,
0,SSD,OCZ,SSD OCZ Agility 3 60GB,60,no M2,,
0,SSD,OCZ,SSD OCZ Agility 4 128GB,128,no M2,,
0,SSD,OCZ,SSD OCZ Agility 4 64GB,64,no M2,,
1450000,SSD,OCZ,SSD OCZ ARC 100 120GB ARC100-25SAT3-120G,120,no M2,,
2540000,SSD,OCZ,SSD OCZ ARC 100 240GB ARC100-25SAT3-240G,240,no M2,,
4840000,SSD,OCZ,SSD OCZ ARC 100 480GB ARC100-25SAT3-480G,480,no M2,,
0,SSD,OCZ,SSD OCZ Synapse 2.5 64GB,64,no M2,,
1190000,SSD,OCZ,SSD OCZ TRION 100 120GB SATA III TRN100-25SAT3-120G,120,no M2,,
2050000,SSD,OCZ,SSD OCZ TRION 100 240GB SATA III TRN100-25SAT3-240G,240,no M2,,
