Price,Catergory,Brand,Name,Type,Code,GB,Watt
0,VGA,Asus,ASUS EAH6570 /DI/1GD3(LP),AMD,6570,1,250
0,VGA,Asus,ASUS EAH6570 /DI/1GD3(LP),AMD,6570,1,250
0,VGA,Gigabyte,Gigabyte GV-HD 7990 D5-6GD-B,AMD,7990,6,750
0,VGA,Gigabyte,Gigabyte GV-R 7990 D5-6GD-B,AMD,7990,6,750
0,VGA,Asus,ASUS R9 270-DC2OC-2GD5 ( AMD R9 270 chipset ) ,AMD,R9 270,2,300
0,VGA,Asus,ASUS R9 270 X-DC2T-2GD5,AMD,R9 270,2,300
0,VGA,Asus,ASUS R9 270-DC2OC-2GD5 ( AMD R9 270 chipset ) ,AMD,R9 270,2,300
0,VGA,Asus,ASUS R9 270X-DC2T-2GD5,AMD,R9 270X,2,300
0,VGA,SAPPHIRE,SAPPHIRE TOXIC R9 280X 3G,AMD,R9 280X,3,450
0,VGA,SAPPHIRE,SAPPHIRE DUAL-X R9 280X 3GB GDDR5 OC (UEFI),AMD,R9 280X,3,450
0,VGA,SAPPHIRE,SAPPHIRE VAPOR-X R9 280X 3GB GDDR5 OC ( AMD R9 280X chipset ) ,AMD,R9 280X,3,450
0,VGA,MSI,MSI R9 280X Gaming 3G,AMD,R9 280X,3,450
0,VGA,Gigabyte,Gigabyte GV-R9 280XOC-3GD ( AMD R9 280 X chipset ) New 100%,AMD,R9 280X,3,450
0,VGA,Gigabyte,Gigabyte GV-R9 280XOC-3GD ( AMD R9 280 X chipset ) New 100%,AMD,R9 280X,3,450
0,VGA,MSI,MSI R9 290 X 4GD5 BF4,AMD,R9 290,4,450
0,VGA,MSI,MSI R9 290 X GAMING 4G,AMD,R9 290,4,450
0,VGA,MSI,MSI R9 290 X LIGHTNING,AMD,R9 290,4,450
0,VGA,SAPPHIRE,SAPPHIRE R9 290 X 4G GDDR5,AMD,R9 290,4,450
0,VGA,MSI,MSI R9 290 X GAMING 4G,AMD,R9 290,4,450
0,VGA,MSI,MSI R9 290 X LIGHTNING,AMD,R9 290,4,450
0,VGA,Gigabyte,Gigabyte GV-R9 290OC-4GD,AMD,R9 290,4,450
0,VGA,Asus,ASUS R9 290-4GD5 (512bits),AMD,R9 290,4,450
0,VGA,Asus,Asus R9 290-DC2-4GD5 ( AMD R9 290 chipset ) ,AMD,R9 290,4,450
0,VGA,Asus,ASUS R9 290-DC2OC-4GD5 (512bits),AMD,R9 290,4,450
0,VGA,Asus,ASUS R9 290 X-4GD5 (512bits),AMD,R9 290,4,450
0,VGA,Asus,ASUS R9 290 X-DC2-4GD5 (512bits),AMD,R9 290,4,450
0,VGA,Asus,ASUS R9 290-4GD5 (512bits),AMD,R9 290,4,450
0,VGA,Asus,Asus R9 290-DC2-4GD5 ( AMD R9 290 chipset ) ,AMD,R9 290,4,450
0,VGA,Asus,ASUS R9 290-DC2OC-4GD5 (512bits),AMD,R9 290,4,450
0,VGA,Asus,ASUS R9 290 X-4GD5 (512bits),AMD,R9 290,4,450
0,VGA,Asus,ASUS R9 290 X-DC2-4GD5 (512bits),AMD,R9 290,4,450
0,VGA,Asus,ASUS R9 295X-8GD5,AMD,R9 295X,8,800
0,VGA,Asus,ASUS R9 295X2-8GD5 (1024bits),AMD,R9 295X,8,800
0,VGA,Asus,ASUS R9 295X-8GD5,AMD,R9 295X,8,800
0,VGA,Asus,ASUS R9 295X2-8GD5 (1024bits),AMD,R9 295X,8,800
0,VGA,Gigabyte,Gigabyte GV-R9 290XOC-4GD ( AMD R9 290 X chipset ) 100% New,AMD,R9 290X,4,450
0,VGA,Gigabyte,Gigabyte GV-R9 290XOC-4GD ( AMD R9 290 X chipset ) 100% New,AMD,R9 290X,4,450
0,VGA,Gigabyte,Gigabyte RX 470 G1 GAMING-8GD,AMD,RX 470,8,300
0,VGA,Gigabyte,Gigabyte RX 470 G1 GAMING-8GD,AMD,RX 470,8,300
0,VGA,Asus,ASUS ROG Strix RX 480 8G GAMING,AMD,RX 480,8,450
0,VGA,Asus,ASUS ROG Strix RX 480 8G GAMING,AMD,RX 480,8,450
0,VGA,Asus,ASUS ROG Strix GeForce GTX 1060 O6G,NVIDIA,1060,6,450
0,VGA,Asus,ASUS ROG Strix GeForce GTX 1060 O6G,NVIDIA,1060,6,450
0,VGA,Asus,ASUS Dual GTX 1060-O6G,NVIDIA,1060,6,450
0,VGA,Asus,ASUS Dual GTX 1060-O6G,NVIDIA,1060,6,450
0,VGA,MSI,MSI GeForce GTX 1070 AERO 8G,NVIDIA,1070,8,600
0,VGA,MSI,MSI GeForce GTX 1070 AERO 8G OC,NVIDIA,1070,8,600
0,VGA,MSI,MSI GeForce GTX 1070 SEA HAWK X (tản nhiệt nước),NVIDIA,1070,8,600
0,VGA,MSI,MSI GeForce GTX 1070 AERO 8G,NVIDIA,1070,8,600
