label,total,cpu,heatsink,mainboard,ram,ssd,hdd,vga,psu,case,other,khuyen mai
Game (mid setting),8440000,0.205,0,0.172,0.082,0,0.137,0.302,0.066,0.037,0,
Game (mid setting)/Generation -1,8510000,0.246768508,0,0.135135135,0.081081081,0,0.135722679,0.299647474,0.065217391,0.036427732,0,
Game (BF1 high),11460000,0.227748691,0,0.138743455,0.095113438,0,0.10078534,0.362129145,0.048429319,0.027050611,0,
Game (BF1 high),12100000,0.227748691,0,0.138743455,0.095113438,0,0.10078534,0.417975567,0.048429319,0.027050611,0,
Game (BF1 ultra),14638000,0.178303047,0,0.101789862,0.1024047,0.119551851,0,0.402377374,0.064831261,0.030741905,0,
Game/Work (General),16787000,0.252576398,0.017215703,0.10067314,0.089295288,0.104247334,0,0.350866742,0.05653184,0.028593555,0,
Game (VR),18478000,0.230003247,0,0.127178266,0.081123498,0.123931161,0,0.36205217,0.051358372,0.024353285,0,
Game (Offline General),20073000,0.239625367,0.026901808,0.117072685,0.074677427,0.064265431,0.057539979,0.333283515,0.047277437,0.039356349,0,
Game/Style,20123000,0.239029966,0.026834965,0.116781792,0.066590469,0.06410575,0.057397008,0.332455399,0.047159966,0.039705809,0.009938876,
Game,26013000,0.163379849,0.020758851,0.094183677,0.053780802,0.041902126,0.044400876,0.480144543,0.048014454,0.053434821,0,
Game/Watercool/style,26042000,0.184907546,0.134509668,0.123015415,0.053780802,0.041902126,0.044400876,0.29562142,0.036481759,0.086495214,0,
Game,32192000,0.195390159,0.027926193,0.0940917,0.080454771,0.099092942,0.035878479,0.406902336,0.036965706,0.023297714,0,
Game ultra setting,36374000,0.132237312,0.030241381,0.067355804,0.071204707,0.087700005,0.03175345,0.519601913,0.037939187,0.02196624,0,
